iter	Passed	Remaining
537	4838	4154
538	4846	4145
539	4856	4136
540	4865	4128
541	4874	4118
542	4882	4108
543	4891	4100
544	4900	4091
545	4910	4083
546	4919	4074
547	4928	4065
548	4937	4056
549	4946	4047
550	4954	4037
551	4963	4028
552	4973	4019
553	4981	4010
554	4991	4001
555	4999	3992
556	5007	3982
557	5015	3973
558	5024	3963
559	5033	3954
560	5042	3946
561	5051	3936
562	5059	3927
563	5068	3917
564	5076	3908
565	5085	3899
566	5093	3889
567	5102	3880
568	5110	3871
569	5119	3862
570	5128	3853
571	5136	3843
572	5145	3834
573	5153	3825
574	5162	3815
575	5171	3806
576	5180	3797
577	5189	3789
578	5200	3781
579	5209	3772
580	5217	3762
581	5226	3753
582	5235	3744
583	5244	3735
584	5253	3726
585	5262	3717
586	5271	3708
587	5280	3699
588	5289	3691
589	5298	3682
590	5306	3672
591	5315	3663
592	5324	3654
593	5333	3645
594	5341	3635
595	5349	3625
596	5358	3617
597	5367	3608
598	5375	3598
599	5384	3589
600	5394	3581
601	5403	3572
602	5411	3562
603	5419	3553
604	5428	3544
605	5437	3534
606	5445	3525
607	5454	3516
608	5464	3508
609	5472	3498
610	5481	3489
611	5490	3480
612	5499	3472
613	5508	3463
614	5518	3454
615	5527	3445
616	5536	3436
617	5545	3427
618	5554	3418
619	5562	3409
620	5570	3399
621	5579	3390
622	5588	3382
623	5598	3373
624	5606	3364
625	5615	3354
626	5624	3345
627	5633	3336
628	5642	3327
629	5651	3319
630	5660	3310
631	5670	3301
632	5678	3292
633	5688	3283
634	5697	3274
635	5706	3265
636	5714	3256
637	5723	3247
638	5732	3238
639	5741	3229
640	5750	3220
641	5758	3211
642	5767	3202
643	5776	3192
644	5784	3183
645	5793	3174
646	5802	3165
647	5811	3156
648	5820	3147
649	5830	3139
650	5839	3130
651	5847	3121
652	5856	3111
653	5865	3103
654	5874	3094
655	5883	3084
656	5891	3076
657	5900	3066
658	5909	3057
659	5917	3048
660	5926	3039
661	5935	3030
662	5944	3021
663	5954	3013
664	5964	3004
665	5974	2996
666	5984	2987
667	5993	2978
668	6002	2970
669	6011	2960
670	6019	2951
671	6029	2942
672	6038	2933
673	6047	2924
674	6056	2915
675	6065	2907
676	6075	2898
677	6083	2889
678	6092	2880
679	6101	2871
680	6110	2862
681	6119	2853
682	6129	2844
683	6138	2835
684	6145	2826
685	6155	2817
686	6163	2808
687	6172	2799
688	6181	2789
689	6189	2780
690	6198	2771
691	6207	2762
692	6216	2753
693	6225	2744
694	6233	2735
695	6242	2726
696	6252	2718
697	6261	2709
698	6269	2699
699	6278	2690
700	6286	2681
701	6296	2672
702	6305	2664
703	6315	2655
704	6324	2646
705	6332	2637
706	6341	2628
707	6350	2619
708	6358	2609
709	6367	2600
710	6375	2591
711	6385	2582
712	6393	2573
